,Neighborhood,Price,Bedrooms,Bathrooms,HouseSize,Description,NeighborhoodDescription
0,Downtown,1200000,4,3,2500 sqft,"Luxurious penthouse in the heart of Downtown with stunning city views. This 4-bedroom, 3-bathroom home features high-end finishes, a gourmet kitchen, and a private rooftop terrace. Enjoy the convenience of urban living in this upscale residence.","Downtown is a vibrant neighborhood with access to top-rated restaurants, shopping, and entertainment venues. Explore the nearby museums, theaters, and parks for endless entertainment options."
1,Suburban Heights,650000,5,4,3000 sqft,"Spacious family home in the desirable Suburban Heights neighborhood. This 5-bedroom, 4-bathroom property offers a large backyard, updated kitchen, and a cozy fireplace. Perfect for families looking for a quiet and safe community.","Suburban Heights is a family-friendly neighborhood with top-rated schools, parks, and community events. Enjoy the suburban lifestyle while still being close to shopping centers and restaurants."
2,Waterfront Estates,1800000,6,5,4000 sqft,"Elegant waterfront estate with panoramic views of the bay. This 6-bedroom, 5-bathroom home features a private dock, pool, and spacious outdoor living areas. Ideal for those who appreciate luxury living and breathtaking sunsets.","Waterfront Estates is an exclusive neighborhood known for its waterfront properties and upscale amenities. Residents enjoy boating, fishing, and water sports right in their backyard."
3,Mountain View,850000,3,2,2200 sqft,"Charming cottage-style home with mountain views in the peaceful Mountain View neighborhood. This 3-bedroom, 2-bathroom property features a cozy fireplace, updated kitchen, and a spacious deck for outdoor entertaining. Perfect for nature lovers seeking a tranquil retreat.","Mountain View is a serene neighborhood surrounded by nature trails, parks, and scenic vistas. Enjoy hiking, biking, and outdoor activities just steps from your front door."
4,Lakefront Living,1500000,4,3,2800 sqft,"Modern lakefront home with stunning water views. This 4-bedroom, 3-bathroom property boasts floor-to-ceiling windows, a gourmet kitchen, and a private dock. Experience luxury living on the water in this contemporary residence.","Lakefront Living offers a peaceful retreat for water enthusiasts and nature lovers. Enjoy boating, fishing, and water sports right from your backyard, surrounded by scenic beauty and tranquility."
5,Historic District,950000,4,3,2400 sqft,"Historic charm meets modern luxury in this beautifully restored home in the Historic District. This 4-bedroom, 3-bathroom property features original architectural details, a gourmet kitchen, and a private courtyard. Step back in time while enjoying all the comforts of contemporary living.","The Historic District is a picturesque neighborhood with tree-lined streets, historic homes, and charming boutiques. Explore the rich history and culture of the area while being just steps away from dining and entertainment options."
6,Golf Course Community,1200000,5,4,3200 sqft,"Custom-built home in a prestigious golf course community. This 5-bedroom, 4-bathroom property offers golf course views, a gourmet kitchen, and a private pool. Perfect for golf enthusiasts and those seeking upscale living.","The Golf Course Community is a gated enclave with access to a championship golf course, clubhouse, and resort-style amenities. Enjoy a luxurious lifestyle with golfing, dining, and social events right at your doorstep."
7,Beachfront Retreat,2000000,6,5,4500 sqft,"Spectacular beachfront retreat with panoramic ocean views. This 6-bedroom, 5-bathroom home features a private beach access, infinity pool, and outdoor kitchen. Experience luxury coastal living in this exclusive residence.","Beachfront Retreat offers a private and serene escape for beach lovers and sun seekers. Enjoy walks on the sandy shores, water sports, and breathtaking sunsets right from your own backyard."
8,Equestrian Estate,1700000,4,3,3500 sqft,"Elegant equestrian estate with horse facilities and mountain views. This 4-bedroom, 3-bathroom property features a barn, riding arena, and lush pastures. Ideal for horse enthusiasts and those seeking a peaceful country lifestyle.","The Equestrian Estate is a horse-friendly community with riding trails, equestrian centers, and scenic vistas. Enjoy the tranquility of country living while still being close to urban amenities."
9,Ski-In/Ski-Out Chalet,1900000,5,4,3800 sqft,"Luxury ski-in/ski-out chalet in a premier mountain resort. This 5-bedroom, 4-bathroom home features mountain views, a hot tub, and a cozy fireplace. Perfect for ski enthusiasts and those seeking a winter retreat.","The Ski-In/Ski-Out Chalet offers direct access to world-class skiing and snowboarding slopes. Enjoy apres-ski activities, dining, and shopping in the charming resort village just steps from your front door."
